Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-95822412,Danielle,Johnson,Male,Maharashtra,Pune,Bachelor,28/05/1972,16/04/2016,13/10/2016,Operations,Inventory Specialist,68958,Good
00-42868828,John,Taylor,Female,Maharashtra,Nagpur,Bachelor,02/04/1974,09/02/2017,01/04/2019,Operations,Logistics Coordinator,61226,Satisfactory
00-83197857,Erica,Mcclain,Female,Maharashtra,Pune,High School,04/01/1995,03/02/2016,28/12/2019,Customer Service,Help Desk Technician,83392,Good
00-13999315,Brittany,Johnson,Female,Uttar Pradesh,Kanpur,Bachelor,25/10/1974,06/02/2016,11/05/2020,Customer Service,Support Specialist,53636,Needs Improvement
00-90801586,Jeffery,Wagner,Female,Tamil Nadu,Coimbatore,Bachelor,01/12/1999,11/01/2015,16/01/2022,Operations,Logistics Coordinator,54716,Satisfactory
00-97226012,Anna,Baldwin,Male,West Bengal,Durgapur,Master,06/02/1980,30/09/2022,29/03/2023,Operations,Operations Analyst,64272,Satisfactory
00-70291817,Amy,Robinson,Female,Maharashtra,Pune,Bachelor,27/05/1980,16/08/2020,22/02/2023,Marketing,SEO Specialist,55259,Good
00-31429110,Joshua,Booth,Female,Maharashtra,Mumbai,High School,09/10/1986,22/10/2022,20/04/2023,Customer Service,Support Specialist,63164,Satisfactory
00-30868105,Linda,Wolfe,Male,Maharashtra,Pune,High School,06/08/1975,13/05/2017,14/03/2021,Marketing,Content Creator,60377,Good
00-22448136,Joshua,Lewis,Female,Maharashtra,Mumbai,PhD,28/12/1968,24/10/2018,22/04/2019,Sales,Sales Specialist,88240,Excellent
00-56164955,Matthew,Davis,Female,Maharashtra,Pune,Master,14/01/1984,07/02/2021,03/07/2024,IT,Software Developer,101175,Good
00-71662963,Michael,Cooper,Male,Maharashtra,Nagpur,Bachelor,27/11/1970,12/04/2020,22/09/2022,Operations,Operations Analyst,95194,Good
00-84093639,Lindsay,Blair,Male,Maharashtra,Pune,Master,26/09/1970,28/07/2017,28/04/2022,Sales,Sales Specialist,61432,Good
00-58537831,David,Nielsen,Male,Maharashtra,Nagpur,Bachelor,28/01/1999,31/01/2020,29/09/2020,Sales,Sales Representative,60700,Good
00-16150444,Andrea,Calderon,Female,Andhra Pradesh,Vijayawada,Bachelor,21/10/1987,29/08/2022,25/02/2023,Operations,Logistics Coordinator,56869,Good
00-41244663,Nicole,Ward,Female,Andhra Pradesh,Visakhapatnam,Bachelor,16/01/1998,16/03/2023,12/09/2023,Operations,Logistics Coordinator,55285,Needs Improvement
00-70855700,Janet,Williams,Female,Maharashtra,Nagpur,Bachelor,17/03/1976,30/03/2021,26/09/2021,Sales,Sales Representative,64623,Needs Improvement
00-59684848,Kendra,Galloway,Female,Maharashtra,Nagpur,Master,08/01/1981,29/11/2018,10/08/2023,HR,HR Coordinator,56439,Good
00-96977837,Jesse,Garcia,Male,West Bengal,Durgapur,Bachelor,22/09/1990,17/04/2016,16/04/2018,Operations,Logistics Coordinator,71664,Good
00-81691040,Shawn,Flowers,Male,Maharashtra,Pune,PhD,08/08/1981,05/03/2022,01/09/2022,Sales,Sales Manager,75371,Good
00-60929647,Mitchell,Clark,Female,Maharashtra,Nagpur,Bachelor,24/06/2002,14/04/2017,30/05/2021,Marketing,SEO Specialist,77530,Excellent
00-84752529,Jacqueline,Sutton,Female,Maharashtra,Nagpur,High School,26/01/1987,28/01/2017,21/07/2024,Customer Service,Customer Service Representative,58023,Good
00-17507864,Chelsea,Jackson,Female,Maharashtra,Pune,Bachelor,29/11/2003,11/10/2017,09/04/2018,Marketing,Content Creator,63339,Satisfactory
00-52339391,John,Ford,Female,Maharashtra,Pune,Bachelor,15/06/2004,15/04/2019,24/05/2023,Operations,Logistics Coordinator,59266,Good
00-86125617,Veronica,Bowman,Female,Maharashtra,Nagpur,Bachelor,06/02/1970,05/08/2023,01/02/2024,Customer Service,Support Specialist,60675,Good
